rank,lane,id,label,status,nextAction,allowedAction,forbiddenActions,blockers,sourceFile
"42","preuves_sourcing_integration","next_wave_active_batch_micro_packs","Micro-packs lot actif","OK_NEXT_WAVE_ACTIVE_BATCH_MICRO_PACKS_GUARDED","lot-01: 4 fiches, 20 preuves, 12 WebP, 32 actions","ouvrir une fiche produit micro-pack, remplir les preuves internes et deposer les WebP exacts locaux","publier | mettre en vente | commander fournisseur | exposer fournisseur client | copier image publique sans validation","Etagere douche angle adhesive: 5 preuves, 3 WebP, fiche business-maxi-trouvailles/tableaux-action/micro-packs-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/fiches-produits/01-etagere-douche-angle-adhesive-partenaire-hold.md | Boite a the compartiments bambou: 5 preuves, 3 WebP, fiche business-maxi-trouvailles/tableaux-action/micro-packs-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/fiches-produits/02-boite-a-the-compartiments-bambou-partenaire-hold.md | Organisateur coffre voiture pliable: 5 preuves, 3 WebP, fiche business-maxi-trouvailles/tableaux-action/micro-packs-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/fiches-produits/03-organisateur-coffre-voiture-pliable-partenaire-hold.md | Organisateur tiroir cuisine extensible: 5 preuves, 3 WebP, fiche business-maxi-trouvailles/tableaux-action/micro-packs-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/fiches-produits/04-organisateur-tiroir-cuisine-extensible-partenaire-hold.md","business-maxi-trouvailles/tableaux-action/micro-packs-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/MICRO_PACKS_ACTIVE_BATCH_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"43","preuves_sourcing_integration","next_wave_active_batch_proof_intake","Preuves internes lot actif","OK_NEXT_WAVE_ACTIVE_BATCH_PROOF_INTAKE_GUARDED","lot-01: 20/20 fichiers preuves, 20 HOLD, audit OK_NEXT_WAVE_ACTIVE_BATCH_PROOF_INTAKE_GUARDED","ouvrir les fichiers preuve internes, remplir les placeholders Mouss et relancer les audits","publier | mettre en vente | commander fournisseur | exposer fournisseur client | copier image publique sans validation","Etagere douche angle adhesive: 5 fichiers preuves, dossier business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/README_PREUVES_LOT_ACTIF_HOLD_20260612.md | Boite a the compartiments bambou: 5 fichiers preuves, dossier business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/README_PREUVES_LOT_ACTIF_HOLD_20260612.md | Organisateur coffre voiture pliable: 5 fichiers preuves, dossier business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/README_PREUVES_LOT_ACTIF_HOLD_20260612.md | Organisateur tiroir cuisine extensible: 5 fichiers preuves, dossier business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold/README_PREUVES_LOT_ACTIF_HOLD_20260612.md","business-maxi-trouvailles/tableaux-action/preuves-internes-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/PROOF_INTAKE_ACTIVE_BATCH_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"44","images_exactes","next_wave_active_batch_webp_deposit_intake","Depots WebP lot actif","OK_NEXT_WAVE_ACTIVE_BATCH_WEBP_DEPOSIT_INTAKE_GUARDED","lot-01: 0/12 WebP valides, 12 manquants, audit OK_NEXT_WAVE_ACTIVE_BATCH_WEBP_DEPOSIT_INTAKE_GUARDED","deposer uniquement les vrais WebP exacts locaux, puis relancer les audits","telecharger automatiquement | copier image publique | utiliser image approximative | publier | commander fournisseur","Etagere douche angle adhesive: 3 WebP manquants, dossier business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold | Boite a the compartiments bambou: 3 WebP manquants, dossier business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold | Organisateur coffre voiture pliable: 3 WebP manquants, dossier business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold | Organisateur tiroir cuisine extensible: 3 WebP manquants, dossier business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/organisateur-tiroir-cuisine-extensible-partenaire-hold","business-maxi-trouvailles/tableaux-action/depots-webp-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/WEBP_DEPOSIT_INTAKE_ACTIVE_BATCH_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"45","images_exactes","next_wave_active_batch_webp_validation_contracts","Contrats validation WebP lot actif","OK_NEXT_WAVE_ACTIVE_BATCH_WEBP_VALIDATION_CONTRACTS_GUARDED","lot-01: 12/12 contrats HOLD, 12 WebP manquants, audit OK_NEXT_WAVE_ACTIVE_BATCH_WEBP_VALIDATION_CONTRACTS_GUARDED","remplir les contrats uniquement avec preuves exactes internes, deposer les vrais WebP et relancer les audits","approuver sans Mouss | copier image publique | utiliser image approximative | publier | commander fournisseur","Etagere douche angle adhesive: 3 contrats HOLD, 3 WebP manquants | Boite a the compartiments bambou: 3 contrats HOLD, 3 WebP manquants | Organisateur coffre voiture pliable: 3 contrats HOLD, 3 WebP manquants | Organisateur tiroir cuisine extensible: 3 contrats HOLD, 3 WebP manquants","business-maxi-trouvailles/tableaux-action/contrats-validation-webp-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/WEBP_VALIDATION_CONTRACTS_ACTIVE_BATCH_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"46","validation_mouss","next_wave_active_batch_mouss_review_board","Revue Mouss lot actif","OK_NEXT_WAVE_ACTIVE_BATCH_MOUSS_REVIEW_BOARD_GUARDED","lot-01: 0 prets revue, 4 bloques, 32 blocages","utiliser le board pour prioriser la saisie Mouss et garder les blocages HOLD","publier | mettre en vente | copier image publique | commander fournisseur | envoyer message client","Etagere douche angle adhesive: 5 preuves, 3 WebP, decision BLOCKED_MOUSS_REVIEW_HOLD | Boite a the compartiments bambou: 5 preuves, 3 WebP, decision BLOCKED_MOUSS_REVIEW_HOLD | Organisateur coffre voiture pliable: 5 preuves, 3 WebP, decision BLOCKED_MOUSS_REVIEW_HOLD | Organisateur tiroir cuisine extensible: 5 preuves, 3 WebP, decision BLOCKED_MOUSS_REVIEW_HOLD","business-maxi-trouvailles/tableaux-action/revue-mouss-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/MOUSS_REVIEW_BOARD_ACTIVE_BATCH_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"47","validation_mouss","next_wave_active_batch_field_entry_pack","Pack saisie terrain lot actif","OK_NEXT_WAVE_ACTIVE_BATCH_FIELD_ENTRY_PACK_GUARDED","lot-01: 32 entrees, 20 preuves, 12 WebP, 4 fiches","remplir les lignes HOLD du pack avec preuves locales et WebP exacts","publier | mettre en vente | copier image publique | commander fournisseur | envoyer message client","Etagere douche angle adhesive: 5 preuves HOLD, 3 WebP HOLD, fiche business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/SAISIE_TERRAIN_01_etagere-douche-angle-adhesive.md | Boite a the compartiments bambou: 5 preuves HOLD, 3 WebP HOLD, fiche business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/SAISIE_TERRAIN_02_boite-a-the-compartiments-bambou.md | Organisateur coffre voiture pliable: 5 preuves HOLD, 3 WebP HOLD, fiche business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/SAISIE_TERRAIN_03_organisateur-coffre-voiture-pliable.md | Organisateur tiroir cuisine extensible: 5 preuves HOLD, 3 WebP HOLD, fiche business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/SAISIE_TERRAIN_04_organisateur-tiroir-cuisine-extensible.md","business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/FIELD_ENTRY_PACK_ACTIVE_BATCH_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"48","validation_mouss","next_wave_active_batch_field_completion_gate","Gate saisie terrain lot actif","OK_NEXT_WAVE_ACTIVE_BATCH_FIELD_COMPLETION_GATE_GUARDED","lot-01: 0/32 entrees pretes, 32 bloquees","relire le gate, completer preuves et WebP locaux, garder HOLD","publier | mettre en vente | copier image publique | commander fournisseur | envoyer message client","Etagere douche angle adhesive: 0/5 preuves, 0/3 WebP, BLOCKED_FIELD_COMPLETION_HOLD | Boite a the compartiments bambou: 0/5 preuves, 0/3 WebP, BLOCKED_FIELD_COMPLETION_HOLD | Organisateur coffre voiture pliable: 0/5 preuves, 0/3 WebP, BLOCKED_FIELD_COMPLETION_HOLD | Organisateur tiroir cuisine extensible: 0/5 preuves, 0/3 WebP, BLOCKED_FIELD_COMPLETION_HOLD","business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lot-actif-prochaine-vague-sourcing-integration-articles/20260612/FIELD_ENTRY_PACK_ACTIVE_BATCH_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"49","preuves_sourcing_integration","next_wave_pending_batches_runway","Runway lots suivants","OK_NEXT_WAVE_PENDING_BATCHES_RUNWAY_GUARDED","2 lots, 8 produits, 40 preuves, 24 WebP en attente","preparer les lots suivants en HOLD sans remplacer le lot actif","publier | mettre en vente | copier image publique | commander fournisseur | envoyer message client","lot actif lot-01 garde HOLD | 64 taches futures sans publication","business-maxi-trouvailles/tableaux-action/runway-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/PENDING_BATCHES_RUNWAY_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"50","preuves_sourcing_integration","next_wave_pending_batches_field_entry_pack","Pack saisie terrain lots suivants","OK_NEXT_WAVE_PENDING_BATCHES_FIELD_ENTRY_PACK_GUARDED","2 lots, 8 produits, 64 entrees, 40 preuves, 24 WebP, 8 fiches","preparer la saisie terrain des lots suivants en HOLD","publier | mettre en vente | copier image publique | commander fournisseur | envoyer message client","64 entrees restent HOLD | lot-01 garde HOLD","business-maxi-trouvailles/tableaux-action/pack-saisie-terrain-lots-suivants-prochaine-vague-sourcing-integration-articles/20260612/PENDING_BATCHES_FIELD_ENTRY_PACK_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"51","images_categories","dropshipping-high-tech","High-tech","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-high-tech.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\01-high-tech-dropshipping-high-tech\dropshipping-high-tech.webp"
"52","produits_partenaires","prod_partner_cable_organizer_001","Organisateur de câbles et accessoires tech","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"53","images_categories","dropshipping-accessoires","Accessoires","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-accessoires.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\02-accessoires-dropshipping-accessoires\dropshipping-accessoires.webp"
"54","produits_partenaires","prod_partner_thermal_printer_001","Mini imprimante thermique Bluetooth","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"55","images_categories","dropshipping-auto-moto","Auto / Moto","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-auto-moto.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\03-auto-moto-dropshipping-auto-moto\dropshipping-auto-moto.webp"
"56","produits_partenaires","prod_partner_galaxy_projector_001","Projecteur galaxie LED pour ambiance","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"57","images_categories","dropshipping-maison","Maison","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-maison.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\04-maison-dropshipping-maison\dropshipping-maison.webp"
"58","produits_partenaires","prod_partner_car_vacuum_001","Mini aspirateur voiture sans fil","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"59","images_categories","dropshipping-cuisine","Cuisine","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-cuisine.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260612\categories\05-cuisine-dropshipping-cuisine\dropshipping-cuisine.webp"
"60","produits_partenaires","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"61","images_categories","dropshipping-beaute","Beauté","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-beaute.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\01-beaute-dropshipping-beaute\dropshipping-beaute.webp"
"62","produits_partenaires","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"63","images_categories","dropshipping-animaux","Animaux","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-animaux.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\02-animaux-dropshipping-animaux\dropshipping-animaux.webp"
"64","produits_partenaires","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"65","images_categories","dropshipping-mode","Mode","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-mode.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\03-mode-dropshipping-mode\dropshipping-mode.webp"
"66","produits_partenaires","ali_partner_20260527_gourde_pliable_001","Gourde pliable silicone voyage avec mousqueton","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"67","images_categories","dropshipping-enfant","Enfant","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-enfant.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260612\categories\04-enfant-dropshipping-enfant\dropshipping-enfant.webp"
"68","produits_partenaires","ali_partner_20260527_lampes_detection_001","Lampe LED à détection de mouvement USB rechargeable","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"69","produits_partenaires","ali_partner_20260527_support_tel_voiture_001","Support téléphone voiture flexible à ventouse 360°","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | supplierPriceCents | pays expedition / transporteur | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"70","photos_produits","ali_partner_20260527_pochette_cables_voyage_001#1","Pochette organisateur câbles double couche voyage - main","HOLD_PHOTO_MISSING","photo produit entier, pochette seule, angle 3/4, fermeture visible","deposer photo WebP exacte: 01-pochette-organisateur-cables-double-couche-voyage-main.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\01-pochette-organisateur-cables-double-couche-voyage-main.webp"
"71","produits_partenaires","ali_partner_20260605_paracorde_camping_001","Corde paracorde camping randonnée 5/15/30 m","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | supplierPriceCents | pays expedition / transporteur | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"72","photos_produits","ali_partner_20260527_pochette_cables_voyage_001#2","Pochette organisateur câbles double couche voyage - detail","HOLD_PHOTO_MISSING","detail interieur/compartiments et fermeture, sans objet non inclus trompeur","deposer photo WebP exacte: 02-pochette-organisateur-cables-double-couche-voyage-detail.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\02-pochette-organisateur-cables-double-couche-voyage-detail.webp"
"73","produits_partenaires","ali_partner_20260605_nano_tape_sdb_cuisine_001","Nano tape double-face salle de bain cuisine","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | supplierPriceCents | pays expedition / transporteur | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"74","photos_produits","ali_partner_20260527_pochette_cables_voyage_001#3","Pochette organisateur câbles double couche voyage - usage","HOLD_PHOTO_MISSING","mise en situation avec cables pour montrer l'usage, en precisant que les accessoires ne sont pas inclus si besoin","deposer photo WebP exacte: 03-pochette-organisateur-cables-double-couche-voyage-usage.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\03-pochette-organisateur-cables-double-couche-voyage-usage.webp"
"75","photos_produits","ali_partner_20260527_pochette_cables_voyage_001#4","Pochette organisateur câbles double couche voyage - dimensions","HOLD_PHOTO_MISSING","photo avec repere dimensions lisible ou preuve dimensions separee","deposer photo WebP exacte: 04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\01-pochette-organisateur-cables-double-couche-voyage\04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp"
"76","photos_produits","ali_partner_20260527_support_pc_pliant_001#1","Support PC portable pliant aluminium ajustable - main","HOLD_PHOTO_MISSING","support seul, deploye, angle 3/4, matiere et forme visibles","deposer photo WebP exacte: 01-support-pc-portable-pliant-aluminium-ajustable-main.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\01-support-pc-portable-pliant-aluminium-ajustable-main.webp"
"77","photos_produits","ali_partner_20260527_support_pc_pliant_001#2","Support PC portable pliant aluminium ajustable - detail","HOLD_PHOTO_MISSING","detail charniere, reglages, patins ou pliage","deposer photo WebP exacte: 02-support-pc-portable-pliant-aluminium-ajustable-detail.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\02-support-pc-portable-pliant-aluminium-ajustable-detail.webp"
"78","photos_produits","ali_partner_20260527_support_pc_pliant_001#3","Support PC portable pliant aluminium ajustable - usage","HOLD_PHOTO_MISSING","usage avec ordinateur en contexte uniquement; ne pas laisser penser que l'ordinateur est inclus","deposer photo WebP exacte: 03-support-pc-portable-pliant-aluminium-ajustable-usage.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\03-support-pc-portable-pliant-aluminium-ajustable-usage.webp"
